image_url,dish_name,food_type,ingredients,portion_size,nutritional_profile,cooking_method
https://img.wongnai.com/p/1920x0/2019/02/15/c0964461e54d426590c36a72fada201b.jpg,ข้าวผัดพริกแกงหมู,Rice dish,"[""หมูเนื้อ"",""เครื่องแกงเผ็ด"",""ถั่วแขก"",""แครอท"",""ข้าวโพดอ่อน"",""ข้าวเย็น"",""น้ำมันพืช"",""น้ำตาลทราย"",""น้ำปลา""]","[""หมูเนื้อ:80g"",""เครื่องแกงเผ็ด:23g"",""ถั่วแขก:50g"",""แครอท:50g"",""ข้าวโพดอ่อน:50g"",""ข้าวสวย:150g"",""น้ำมันพืช:10g"",""น้ำตาลทราย:24g"",""น้ำปลา:30g""]","{""calories_kcal"": 370,""carbohydrate_g"": 58.8,""protein_g"": 23.8,""fat_g"": 4.4}
",stir-fried
https://img.wongnai.com/p/1920x0/2018/08/26/65cee00b955543a686bf265b93493fd2.jpg,ข้าวผัดพริกแกงไก่,Rice dish,"[""เนื้อไก่"",""ถั่วฝักยาว"",""เห็ดฟาง"",""เครื่องแกงเผ็ด"",""พริกแดงจินดา"",""น้ำปลา"",""น้ำตาลทราย"",""ซีอิ๊วขาว""]","[""ไก่สับ:100g"",""ถั่วฝักยาว:15g"",""เห็ดฟาง:50g"",""เครื่องแกงเผ็ด:45g"",""พริกแดงจินดา:5g"",""น้ำปลา:60g"",""น้ำตาลทราย:24g"",""ซีอิ๊วขาว:5g""]","{""calories_kcal"": 243.9,""carbohydrate_g"": 12.4,""protein_g"": 23.6,""fat_g"": 11.1}",stir-fried
https://s359.kapook.com/pagebuilder/8491b0f3-9281-4331-9bc7-abeee4b28553.jpg,ข้าวผัดต้มยำทะเล,Rice dish,"[""ข้าวสวย"",""กุ้ง"",""ปลาหมึก"",""น้ำตาลทราย"",""น้ำปลา"",""น้ำมะนาว"",""ใบมะกรูด"",""ข่า"",""ตะไคร้"",""เครื่องแกงเผ็ด"",""พริกขี้หนู"",""น้ำมันพืช"",""กระเทียม""]","[""ข้าวสวย:150g"",""กุ้ง:60g"",""ปลาหมึก:100g"",""น้ำตาลทราย:6g"",""น้ำปลา:15g"",""น้ำมะนาว:15g"",""ใบมะกรูด:2g"",""ข่า:18g"",""ตะไคร้:45g"",""เครื่องแกงเผ็ด:30g"",""พริกขี้หนู:10g"",""น้ำมันพืช:28g"",""กระเทียม:5g""]","{""calories_kcal"": 462.3,""carbohydrate_g"": 72.5,""protein_g"": 34.3,""fat_g"": 3.9}",stir-fried
https://img.wongnai.com/p/1920x0/2021/02/08/ef978a413d17470782d59e3f77fe673d.jpg,ข้าวหมูกระเทียม,Rice dish,"[""เนื้อสันคอ"",""กระเทียม"",""รากผักชี"",""น้ำมันหอย"",""ซีอิ๊วขาว"",""น้ำตาลทราย"",""พริกไทยขาว""]","[""เนื้อสันคอ:250g"",""กระเทียม:135g"",""รากผักชี:21g"",""น้ำมันหอย:15g"",""ซีอิ๊วขาว:30g"",""น้ำตาลทราย:6g"",""พริกไทยขาว:2g""]","{""calories_kcal"": 611.3,""carbohydrate_g"": 23.6,""protein_g"": 54.3,""fat_g"": 33.3}",stir-fried
https://img.wongnai.com/p/1968x0/2023/05/05/4256d64447294a91a3b620f46a7e7632.jpg,ข้าวไก่กระเทียม,Rice dish,"[""อกไก่"",""กระเทียม"",""น้ำปลา"",""ซอสหอยนางรม"",""น้ำตาลทราย"",""ซอสปรุงรส"",""น้ำมันพืช"",""ข้าวสวย""]","[""อกไก่:100g"",""กระเทียม:8g"",""น้ำปลา:2.5g"",""ซอสหอยนางรม:7.5g"",""น้ำตาลทราย:2g"",""ซอสปรุงรส:2.5g"",""น้ำมันพืช:21g"",""ข้าวสวย:150g""]","{""calories_kcal"": 532.4,""carbohydrate_g"": 51.1,""protein_g"": 28.9,""fat_g"": 23.6}",stir-fried
https://img.wongnai.com/p/1968x0/2020/08/15/38083abf9ec64670912121b13fce49b9.jpg,ข้าวกุ้งกระเทียม,Rice dish,"[""กุ้ง"",""กระเทียม"",""รากผักชี"",""น้ำมันพืช"",""ซีอิ๊วขาว"",""น้ำตาลทราย"",""ผงปรุงรส"",""พริกไทย"",""ข้าวสวย""]","[""กุ้ง:60g"",""กระเทียม:12g"",""รากผักชี:6g"",""น้ำมันพืช:14g"",""ซีอิ๊วขาว:5g"",""น้ำตาลทราย:4g"",""ผงปรุงรส:2g"",""พริกไทย:0.5g"",""ข้าวสวย:150g""]","{""calories_kcal"": 282,""carbohydrate_g"": 49.6,""protein_g"": 17.3,""fat_g"": 1.6}",stir-fried
https://img.wongnai.com/p/1920x0/2021/01/15/1f1d3c1a44794500a65f9b12485eab44.jpg,ข้าวหมูผัดพริกไทยดำ,Rice dish,"[""สันในหมู"",""กระเทียม"",""หอมใหญ่"",""พริกหวาน"",""ต้นหอม"",""พริกไทยดำ"",""น้ำตาลทราย"",""ซอสปรุงรส"",""น้ำมันหอย"",""น้ำมันพืช"",""ข้าวสวย""]","[""สันในหมู:150g"",""กระเทียม:10g"",""หอมใหญ่:120g"",""พริกหวาน:120g"",""ต้นหอม:25g"",""พริกไทยดำ:6g"",""น้ำตาลทราย:3g"",""ซอสปรุงรส:15g"",""น้ำมันหอย:18g"",""น้ำมันพืช:14g"",""ข้าวสวย:150g""]","{""calories_kcal"": 557.4,""carbohydrate_g"": 75.3,""protein_g"": 43.8,""fat_g"": 9.0}",stir-fried
https://img.wongnai.com/p/1968x0/2017/12/03/ebf700cbe1144e6096b309ad292ecc77.jpg,ข้าวไก่ผัดพริกไทยดำ,Rice dish,"[""อกไก่"",""ข้าวสวย"",""กระเทียม"",""พริกไทยดำ"",""เกลือ"",""ไข่ไก่"",""ต้นหอม""]","[""อกไก่:150g"",""ข้าวสวย:110g"",""กระเทียม:9g"",""พริกไทยดำ:2g"",""เกลือ:1g"",""ไข่ไก่:50g"",""ต้นหอม:10g""]","{""calories_kcal"": 431.7,""carbohydrate_g"": 37.5,""protein_g"": 45.9,""fat_g"": 10.9}",stir-fried
https://img.wongnai.com/p/1920x0/2018/05/07/febb61fd91f74e199589f6034fc8de83.jpg,ข้าวหมูผัดขิง,Rice dish,"[""สันในหมู"",""ขิง"",""หอมใหญ่"",""เห็ดหูหนู"",""พริกชี้ฟ้า"",""กระเทียม"",""ซีอิ๊วขาว"",""น้ำปลา"",""เต้าเจี้ยว"",""ข้าวสวย""]","[""สันในหมู:50g"",""ขิง:12.5g"",""หอมใหญ่:30g"",""เห็ดหูหนู:25g"",""พริกชี้ฟ้า:5g"",""กระเทียม:2.25g"",""ซีอิ๊วขาว:1.9g"",""น้ำปลา:1.9g"",""เต้าเจี้ยว:1.9g"",""ข้าวสวย:150g""]","{""calories_kcal"": 301.4,""carbohydrate_g"": 52.3,""protein_g"": 16.3,""fat_g"": 3.0}",stir-fried
https://recipe.sgethai.com/wp-content/uploads/2025/05/cover-chicken-stir-fry-with-ginger_result.webp,ข้าวไก่ผัดขิง,Rice dish,"[""สะโพกไก่"",""น้ำมันพืช"",""กระเทียม"",""ขิง"",""หอมใหญ่"",""เต้าเจี้ยว"",""น้ำตาลทราย"",""ซีอิ๊วขาว"",""เห็ดหูหนู"",""พริกชี้ฟ้าแดง"",""ต้นหอม""]","[""สะโพกไก่:250g"",""น้ำมันพืช:21g"",""กระเทียม:10g"",""ขิง:25g"",""หอมใหญ่:30g"",""เต้าเจี้ยว:27g"",""น้ำตาลทราย:6g"",""ซีอิ๊วขาว:15g"",""เห็ดหูหนู:25g"",""พริกชี้ฟ้าแดง:15g"",""ต้นหอม:12.5g""]","{""calories_kcal"": 454.7,""carbohydrate_g"": 16.4,""protein_g"": 60.6,""fat_g"": 16.3}",stir-fried
https://img.wongnai.com/p/1968x0/2023/07/16/47dad10e42ed4d199e5be5f12ddecbdd.jpg,ข้าวหมูผัดพริกหยวก,Rice dish,"[""พริกหยวก"",""หมูสับ"",""พริกชี้ฟ้าแดง"",""พริกไทยดำ"",""ซอสหอยนางรม"",""น้ำเปล่า"",""น้ำมันพืช"",""กระเทียม"",""ข้าวสวย""]","[""พริกหยวก:125g"",""หมูสับ:200g"",""พริกชี้ฟ้าแดง:7.5g"",""พริกไทยดำ:3g"",""ซอสหอยนางรม:36g"",""น้ำเปล่า:200g"",""น้ำมันพืช:5g"",""กระเทียม:30g"",""ข้าวสวย:150g""]","{""calories_kcal"": 494,""carbohydrate_g"": 58.1,""protein_g"": 47.4,""fat_g"": 8.0}",stir-fried
https://img.wongnai.com/p/1920x0/2018/06/03/b23f48378e7241f582c3a0de8e2a1ed9.jpg,ข้าวหมูผัดเปรี้ยวหวาน,Rice dish,"[""เนื้อหมูสไลด์"",""หอมหัวใหญ่"",""แตงกวา"",""มะเขือเทศ"",""กระเทียม"",""ต้นหอม"",""ซอสมะเขือเทศ"",""ซอสปรุงรส"",""น้ำตาลทราย"",""น้ำมันหอย"",""ข้าวสวย""]","[""เนื้อหมูสไลด์:100g"",""หอมหัวใหญ่:48g"",""แตงกวา:100g"",""มะเขือเทศ:48g"",""กระเทียม:4g"",""ต้นหอม:8g"",""ซอสมะเขือเทศ:21.6g"",""ซอสปรุงรส:5g"",""น้ำตาลทราย:3g"",""น้ำมันหอย:5g"",""ข้าวสวย:150g""]","{""calories_kcal"": 356.3,""carbohydrate_g"": 53.4,""protein_g"": 26.0,""fat_g"": 4.3}",stir-fried
https://img.wongnai.com/p/1920x0/2017/05/26/c4168665112d425daa30709cf214965a.jpg,ข้าวคะน้าหมูกรอบ,Rice dish,"[""คะน้า"",""กระเทียม"",""พริกขี้หนู"",""เต้าเจี้ยว"",""น้ำมันหอย"",""น้ำตาลทราย"",""ซอสปรุงรส"",""น้ำสะอาด"",""หมูสามชั้น"",""เกลือ"",""น้ำส้มสายชู"",""ไข่"",""ข้าวสวย""]","[""คะน้า:100g"",""กระเทียม:9g"",""พริกขี้หนู:9g"",""เต้าเจี้ยว:18g"",""น้ำมันหอย:18g"",""น้ำตาลทราย:6g"",""ซอสปรุงรส:9g"",""น้ำสะอาด:382.5g"",""หมูสามชั้น:125g"",""เกลือ:10g"",""น้ำส้มสายชู:5g"",""ไข่:50g"",""ข้าวสวย:150g""]","{""calories_kcal"": 347,""carbohydrate_g"": 54.8,""protein_g"": 16.2,""fat_g"": 7.0}",stir-fried
https://api2.krua.co/wp-content/uploads/2020/06/SEOForm1200x630-199.jpg,ข้าวหมูแดง,Rice dish,"[""สันในหมู"",""ผงหมักหมูแดง"",""น้ำตาลทราย"",""น้ำมันงา"",""ซอสหอยนางรม"",""ซีอิ๊วขาว"",""ซอสปรุงรส"",""นมข้นจืด"",""น้ำเปล่า"",""ข้าวสวย""]","[""สันในหมู:250g"",""ผงหมักหมูแดง:20g"",""น้ำตาลทราย:6g"",""น้ำมันงา:3.4g"",""ซอสหอยนางรม:9g"",""ซีอิ๊วขาว:2.5g"",""ซอสปรุงรส:2.5g"",""นมข้นจืด:20g"",""น้ำเปล่า:125g"",""ข้าวสวย:150g""]","{""calories_kcal"": 529.2,""carbohydrate_g"": 47.5,""protein_g"": 58.7,""fat_g"": 11.6}",stir-fried
https://img.wongnai.com/p/1920x0/2023/05/17/d3c867e47ae94b129589468047dff17f.jpg,ข้าวหมูกรอบ,Rice dish,"[""หมูสามชั้น"",""น้ำส้มสายชู"",""เกลือ"",""น้ำมันงา"",""กระเทียม"",""หอมแดง"",""รากผักชี"",""เต้าเจี้ยว"",""ซอสหอยนางรม"",""น้ำตาล"",""ซีอิ๊วดำ"",""น้ำซุป"",""นมสด"",""แป้งมัน"",""งาขาว""]","[""หมูสามชั้น:250g"",""น้ำส้มสายชู:15g"",""เกลือ:2.5g"",""น้ำมันงา:3.4g"",""กระเทียม:2.25g"",""หอมแดง:15g"",""รากผักชี:2.5g"",""เต้าเจี้ยว:9g"",""ซอสหอยนางรม:4.5g"",""น้ำตาล:3g"",""ซีอิ๊วดำ:3.75g"",""น้ำซุป:60g"",""นมสด:30g"",""แป้งมัน:5g"",""งาขาว:5g""]","{""calories_kcal"": 1059.8,""carbohydrate_g"": 10.9,""protein_g"": 77.2,""fat_g"": 78.6}",stir-fried
https://img.wongnai.com/p/1920x0/2017/06/22/bbf899f7ab4341dea4aec6330c2afafd.jpg,ข้าวมันไก่,Rice dish,"[""สะโพกไก่"",""กระเทียม"",""รากผักชี"",""ขิงแก่"",""พริกไทย"",""เกลือ"",""น้ำตาลกรวด"",""ข้าวสารดิบ"",""น้ำมันพืช"",""แตงกวา"",""ผักชี""]","[""สะโพกไก่:200g"",""กระเทียม:60g"",""รากผักชี:6g"",""ขิงแก่:12g"",""พริกไทย:3g"",""เกลือ:9g"",""น้ำตาลกรวด:3g"",""ข้าวสารดิบ:80g"",""น้ำมันพืช:3g"",""แตงกวา:50g"",""ผักชี:5g""]","{""calories_kcal"": 326.6,""carbohydrate_g"": 13.1,""protein_g"": 47.4,""fat_g"": 9.4}",stir-fried
https://img.wongnai.com/p/1920x0/2019/04/21/f8d018e1735245aeb8d7e05bf6189f77.jpg,ข้าวมันไก่ทอด,Rice dish,"[""สะโพกไก่"",""รากผักชี"",""กระเทียมจีน"",""พริกไทยขาว"",""เกลือสมุทร"",""แป้งสาลี"",""แป้งทอดกรอบ"",""น้ำเย็น"",""ข้าวสวย"",""ขิงแก่"",""กระเทียมจีน"",""น้ำตาลทราย"",""พริกไทยป่น"",""น้ำมันพืช"",""รากผักชี"",""เกลือสมุทร"",""กระเทียมเจียว""]","[""สะโพกไก่:125g"",""รากผักชี:3g"",""กระเทียมจีน:5g"",""พริกไทยขาว:0.5g"",""เกลือสมุทร:1.25g"",""แป้งสาลี:15g"",""แป้งทอดกรอบ:8g"",""น้ำเย็น:45g"",""ข้าวสวย:150g"",""ขิงแก่:5g"",""กระเทียมจีน:5g"",""น้ำตาลทราย:1.7g"",""พริกไทยป่น:0.5g"",""น้ำมันพืช:7g"",""รากผักชี:3g"",""เกลือสมุทร:1.25g"",""กระเทียมเจียว:3g""]","{""calories_kcal"": 379.6,""carbohydrate_g"": 48.2,""protein_g"": 31.4,""fat_g"": 6.8}",stir-fried
https://img.wongnai.com/p/1968x0/2022/07/12/32f230068bdb40929f515ec1e67eb4b6.jpg,ข้าวไข่เจียวหมูสับ,Rice dish,"[""ไข่ไก่"",""หมูสับ"",""ซีอิ๊วขาว"",""ข้าวสวย""]","[""ไข่ไก่:100g"",""หมูสับ:100g"",""ซีอิ๊วขาว:30g"",""ข้าวสวย:150g""]","{""calories_kcal"": 463.3,""carbohydrate_g"": 48.4,""protein_g"": 36.6,""fat_g"": 13.7}",stir-fried
https://img.wongnai.com/p/1968x0/2023/06/15/ff6fd5bb02824af88ff3bb780a4cdee3.jpg,ข้าวไข่เจียวกุ้ง,Rice dish,"[""ไข่ไก่"",""กุ้งขาว"",""ข้าวสวย""]","[""ไข่ไก่:100g"",""กุ้งขาว:60g"",""ข้าวสวย:150g""]","{""calories_kcal"": 395,""carbohydrate_g"": 48.0,""protein_g"": 26.0,""fat_g"": 11.0}",stir-fried
https://img.wongnai.com/p/1920x0/2019/05/01/a68ad66ef6c843ce91114156d6dab1d4.jpg,ข้าวไข่เจียวแหนมพริกขี้หนู,Rice dish,"[""ไข่ไก่"",""แหนมหมู"",""พริกขี้หนู"",""ข้าวสวย""]","[""ไข่ไก่:150g"",""แหนมหมู:120g"",""พริกขี้หนู:10g"",""ข้าวสวย:150g""]","{""calories_kcal"": 651.8,""carbohydrate_g"": 53.4,""protein_g"": 47.9,""fat_g"": 27.4}",stir-fried
https://img.wongnai.com/p/1920x0/2017/09/26/f4a2b35abd654da6897ac35a7828866e.jpg,ข้าวไข่ข้นกุ้ง,Rice dish,"[""ไข่ไก่"",""นมสด"",""กุ้ง"",""ข้าวสวย""]","[""ไข่ไก่:100g"",""นมสด:15g"",""กุ้ง:60g"",""ข้าวสวย:150g""]","{""calories_kcal"": 464,""carbohydrate_g"": 50.1,""protein_g"": 29.9,""fat_g"": 16.0}",stir-fried
https://img.wongnai.com/p/1968x0/2018/06/21/b0c7064ee95b44329362727b155f4b4d.jpg,ข้าวไข่ข้นหมู,Rice dish,"[""ไข่ไก่"",""หมูสับ"",""นมจืด"",""ข้าวสวย""]","[""ไข่ไก่:100g"",""หมูสับ:50g"",""นมจืด:15g"",""ข้าวสวย:150g""]","{""calories_kcal"": 418.2,""carbohydrate_g"": 49.0,""protein_g"": 27.2,""fat_g"": 12.6}",stir-fried
https://img.wongnai.com/p/1920x0/2018/07/01/441672f010dd4103b63130db0c5a6f1b.jpg,ข้าวไข่ข้นแฮมชีส,Rice dish,"[""แฮม"",""ต้นหอม"",""แครอท"",""ไข่ไก่"",""นมสด"",""ชีส""]","[""แฮม:15g"",""ต้นหอม:10g"",""แครอท:30g"",""ไข่ไก่:100g"",""นมสด:25g"",""ชีส:30g""]","{""calories_kcal"": 504.2,""carbohydrate_g"": 11.3,""protein_g"": 39.6,""fat_g"": 33.4}",stir-fried
https://www.shutterstock.com/image-photo/chicken-green-curry-coconut-shoots-260nw-2487463515.jpg,ข้าวราดแกงเขียวหวานไก่,Rice dish,"[""พริกขี้หนู"",""พริกแดง"",""ยี่หร่า"",""กระเทียม"",""หอมแดง"",""ข่า"",""รากผักชี"",""ตะไคร้"",""พริกไทยดำ"",""กะปิ"",""เนื้อไก่"",""มะเขือเปราะ"",""ข้าวสวย""]","[""พริกขี้หนู:50g"",""พริกแดง:10g"",""ยี่หร่า:5g"",""กระเทียม:50g"",""หอมแดง:200g"",""ข่า:50g"",""รากผักชี:50g"",""ตะไคร้:50g"",""พริกไทยดำ:15g"",""กะปิ:100g"",""เนื้อไก่:200g"",""มะเขือเปราะ:100g"",""ข้าวสวย:150g""]","{""calories_kcal"": 1034.9,""carbohydrate_g"": 129.9,""protein_g"": 95.3,""fat_g"": 14.9}",stir-fried
https://img.wongnai.com/p/1968x0/2019/06/07/96c34d6dd8974b138d4b409bfe482fba.jpg,ข้าวราดพะแนงหมู,Rice dish,"[""เนื้อหมูสันใน"",""พริกชี้ฟ้าแดง"",""ใบมะกรูด"",""ใบโหระพา"",""ข้าวสวย""]","[""เนื้อหมูสันใน:100g"",""พริกชี้ฟ้าแดง:8g"",""ใบมะกรูด:3g"",""ใบโหระพา:5g"",""ข้าวสวย:150g""]","{""calories_kcal"": 336.3,""carbohydrate_g"": 47.8,""protein_g"": 25.7,""fat_g"": 4.7}",stir-fried
https://img.wongnai.com/p/1920x0/2022/11/03/ab81b8a3e93e43fe99f42d65c994ec2b.jpg,ข้าวราดผัดฉ่าทะเล,Rice dish,"[""ข้าวสวย"",""กุ้ง"",""ปลาหมึก"",""หอยแมลงภู่"",""กระเทียม"",""พริกแดงจินดา"",""กระชาย""]","[""ข้าวสวย:150g"",""กุ้ง:100g"",""ปลาหมึก:100g"",""หอยแมลงภู่:100g"",""กระเทียม:15g"",""พริกแดงจินดา:10g"",""กระชาย:20g""]","{""calories_kcal"": 485.2,""carbohydrate_g"": 56.9,""protein_g"": 53.6,""fat_g"": 4.8}",stir-fried
